['pill bottle', '2023-07-28T17:04:58.562334', 0.018404245376586914, 0.08589696884155273, 0.10430121421813965]
['jinrikisha', '2023-07-28T17:05:00.613136', 0.004363536834716797, 0.062470436096191406, 0.0668339729309082]
['stopwatch', '2023-07-28T17:05:02.666163', 0.004400968551635742, 0.06409811973571777, 0.06849908828735352]
['potpie', '2023-07-28T17:05:04.743652', 0.004423379898071289, 0.06322050094604492, 0.06764388084411621]
['worm fence', '2023-07-28T17:05:06.887617', 0.004216909408569336, 0.06357717514038086, 0.0677940845489502]
['European fire salamander', '2023-07-28T17:05:08.853357', 0.004646778106689453, 0.06487894058227539, 0.06952571868896484]
['kimono', '2023-07-28T17:05:10.919496', 0.004080295562744141, 0.06489896774291992, 0.06897926330566406]
['triceratops', '2023-07-28T17:05:12.990905', 0.0040247440338134766, 0.06448245048522949, 0.06850719451904297]
['revolver', '2023-07-28T17:05:15.055477', 0.003916740417480469, 0.06300044059753418, 0.06691718101501465]
['beacon', '2023-07-28T17:05:17.052025', 0.004033088684082031, 0.06809258460998535, 0.07212567329406738]
['trench coat', '2023-07-28T17:05:19.166947', 0.003481149673461914, 0.06710124015808105, 0.07058238983154297]
['limpkin', '2023-07-28T17:05:21.314272', 0.004218578338623047, 0.06334161758422852, 0.06756019592285156]
['hourglass', '2023-07-28T17:05:23.391712', 0.004071235656738281, 0.06788110733032227, 0.07195234298706055]
['maypole', '2023-07-28T17:05:25.509489', 0.004402637481689453, 0.06343412399291992, 0.06783676147460938]
['ant', '2023-07-28T17:05:27.590001', 0.003510713577270508, 0.06259632110595703, 0.06610703468322754]
["potter's wheel", '2023-07-28T17:05:29.699630', 0.004138469696044922, 0.06731939315795898, 0.0714578628540039]
['earthstar', '2023-07-28T17:05:31.701074', 0.0046427249908447266, 0.0672760009765625, 0.07191872596740723]
['English foxhound', '2023-07-28T17:05:33.744020', 0.0043027400970458984, 0.06620001792907715, 0.07050275802612305]
['monarch', '2023-07-28T17:05:35.812587', 0.0044384002685546875, 0.06462335586547852, 0.0690617561340332]
['indri', '2023-07-28T17:05:37.867184', 0.004037380218505859, 0.06186795234680176, 0.06590533256530762]
['bearskin', '2023-07-28T17:05:39.987041', 0.0038263797760009766, 0.06344103813171387, 0.06726741790771484]
['comic book', '2023-07-28T17:05:42.024177', 0.004304170608520508, 0.06392955780029297, 0.06823372840881348]
['cockroach', '2023-07-28T17:05:44.015092', 0.003999471664428711, 0.05976366996765137, 0.06376314163208008]
['trilobite', '2023-07-28T17:05:46.041031', 0.00413823127746582, 0.06191372871398926, 0.06605195999145508]
['dumbbell', '2023-07-28T17:05:48.086279', 0.003926515579223633, 0.061566829681396484, 0.06549334526062012]
['barn', '2023-07-28T17:05:50.163719', 0.004083395004272461, 0.06271076202392578, 0.06679415702819824]
['fox squirrel', '2023-07-28T17:05:52.135095', 0.004152536392211914, 0.06677603721618652, 0.07092857360839844]
['Irish water spaniel', '2023-07-28T17:05:54.214697', 0.0042116641998291016, 0.060654401779174805, 0.0648660659790039]
['Dandie Dinmont', '2023-07-28T17:05:56.218208', 0.004140615463256836, 0.06694459915161133, 0.07108521461486816]
