['triceratops', '2023-09-14T20:02:21.234406', 0.09418058395385742, 0.308408260345459, 0.4025888442993164]
['triceratops', '2023-09-14T20:02:23.544751', 0.010230541229248047, 0.05237269401550293, 0.06260323524475098]
['triceratops', '2023-09-14T20:02:25.280237', 0.007932901382446289, 0.07734942436218262, 0.0852823257446289]
['flagpole', '2023-09-14T20:06:10.580655', 0.002376556396484375, 0.049330949783325195, 0.05170750617980957]
['amphibian', '2023-09-14T20:06:14.640611', 0.0018420219421386719, 0.06271505355834961, 0.06455707550048828]
['maraca', '2023-09-14T20:06:18.825849', 0.0036978721618652344, 0.04799389839172363, 0.05169177055358887]
['steel arch bridge', '2023-09-14T20:06:22.861160', 0.003871917724609375, 0.052108049392700195, 0.05597996711730957]
['nematode', '2023-09-14T20:06:26.924257', 0.002084970474243164, 0.04870867729187012, 0.05079364776611328]
['lawn mower', '2023-09-14T20:06:31.032447', 0.0026476383209228516, 0.048100948333740234, 0.050748586654663086]
['worm fence', '2023-09-14T20:06:35.245644', 0.002240896224975586, 0.053685665130615234, 0.05592656135559082]
['cradle', '2023-09-14T20:06:39.413374', 0.0038611888885498047, 0.050612449645996094, 0.0544736385345459]
['throne', '2023-09-14T20:06:43.501944', 0.002763509750366211, 0.04932355880737305, 0.05208706855773926]
['Walker hound', '2023-09-14T20:06:47.580849', 0.0037555694580078125, 0.047905683517456055, 0.05166125297546387]
['orangutan', '2023-09-14T20:06:51.696641', 0.0037856101989746094, 0.05398988723754883, 0.05777549743652344]
['lesser panda', '2023-09-14T20:06:55.699360', 0.0020613670349121094, 0.053412437438964844, 0.05547380447387695]
['barn spider', '2023-09-14T20:06:59.722080', 0.0039272308349609375, 0.05048704147338867, 0.05441427230834961]
['moving van', '2023-09-14T20:07:03.743268', 0.0038475990295410156, 0.04849076271057129, 0.052338361740112305]
['African chameleon', '2023-09-14T20:07:07.792264', 0.00416254997253418, 0.047334909439086914, 0.051497459411621094]
['cowboy boot', '2023-09-14T20:07:11.889976', 0.0032956600189208984, 0.062039852142333984, 0.06533551216125488]
['fox squirrel', '2023-09-14T20:07:16.011416', 0.003784656524658203, 0.058426618576049805, 0.06221127510070801]
['prayer rug', '2023-09-14T20:07:20.089891', 0.0039250850677490234, 0.0490872859954834, 0.05301237106323242]
['thresher', '2023-09-14T20:07:24.197853', 0.003864765167236328, 0.049010515213012695, 0.05287528038024902]
['eel', '2023-09-14T20:07:28.226178', 0.0037899017333984375, 0.04996919631958008, 0.053759098052978516]
['thresher', '2023-09-14T20:07:32.446588', 0.0037806034088134766, 0.04815673828125, 0.05193734169006348]
['Arabian camel', '2023-09-14T20:07:36.658890', 0.0036361217498779297, 0.05114912986755371, 0.05478525161743164]
['tailed frog', '2023-09-14T20:07:40.819988', 0.004492282867431641, 0.060775041580200195, 0.06526732444763184]
