['146, albatross', '2023-09-12T22:45:44.419169', 0.03538370132446289, 0.06261992454528809, 0.09800362586975098]
['940, spaghetti_squash', '2023-09-12T22:45:46.431837', 0.003496408462524414, 0.034003496170043945, 0.03749990463256836]
['653, milk_can', '2023-09-12T22:45:48.421542', 0.0023813247680664062, 0.037320613861083984, 0.03970193862915039]
['976, promontory', '2023-09-12T22:45:50.467000', 0.003719806671142578, 0.03026723861694336, 0.03398704528808594]
['976, promontory', '2023-09-12T22:45:52.543998', 0.003908872604370117, 0.029895544052124023, 0.03380441665649414]
['146, albatross', '2023-09-12T22:45:54.463259', 0.0024623870849609375, 0.03374671936035156, 0.0362091064453125]
['976, promontory', '2023-09-12T22:45:56.498661', 0.003951549530029297, 0.030398130416870117, 0.034349679946899414]
['146, albatross', '2023-09-12T22:45:58.498791', 0.002368927001953125, 0.029140710830688477, 0.0315096378326416]
['146, albatross', '2023-09-12T22:46:00.495967', 0.002597808837890625, 0.03024768829345703, 0.032845497131347656]
['653, milk_can', '2023-09-12T22:46:02.454760', 0.003937244415283203, 0.028632640838623047, 0.03256988525390625]
['323, monarch', '2023-09-12T22:46:04.507848', 0.0034537315368652344, 0.028406858444213867, 0.0318605899810791]
['146, albatross', '2023-09-12T22:46:06.606617', 0.004085063934326172, 0.028596162796020508, 0.03268122673034668]
['653, milk_can', '2023-09-12T22:46:08.643905', 0.0034780502319335938, 0.030382394790649414, 0.03386044502258301]
['653, milk_can', '2023-09-12T22:46:10.712330', 0.0042266845703125, 0.03414559364318848, 0.03837227821350098]
['940, spaghetti_squash', '2023-09-12T22:46:12.724403', 0.003509521484375, 0.030106544494628906, 0.033616065979003906]
['146, albatross', '2023-09-12T22:46:14.792901', 0.003468036651611328, 0.030005693435668945, 0.03347373008728027]
['940, spaghetti_squash', '2023-09-12T22:46:16.742653', 0.006936311721801758, 0.06134796142578125, 0.06828427314758301]
['653, milk_can', '2023-09-12T22:46:18.722589', 0.003853321075439453, 0.031197071075439453, 0.035050392150878906]
['146, albatross', '2023-09-12T22:46:20.741342', 0.0035479068756103516, 0.03510689735412598, 0.03865480422973633]
['323, monarch', '2023-09-12T22:46:22.729060', 0.0024352073669433594, 0.03134608268737793, 0.03378129005432129]
['940, spaghetti_squash', '2023-09-12T22:46:24.779861', 0.0036468505859375, 0.03646683692932129, 0.04011368751525879]
['653, milk_can', '2023-09-12T22:46:26.775729', 0.003469228744506836, 0.02837514877319336, 0.031844377517700195]
['146, albatross', '2023-09-12T22:46:28.723101', 0.00395965576171875, 0.03133726119995117, 0.03529691696166992]
['940, spaghetti_squash', '2023-09-12T22:46:30.701815', 0.00399017333984375, 0.029068470001220703, 0.03305864334106445]
['940, spaghetti_squash', '2023-09-12T22:46:32.676972', 0.003938436508178711, 0.03566622734069824, 0.03960466384887695]
['653, milk_can', '2023-09-12T22:46:34.689158', 0.003858327865600586, 0.029893159866333008, 0.033751487731933594]
['653, milk_can', '2023-09-12T22:46:36.615471', 0.0037293434143066406, 0.028877973556518555, 0.032607316970825195]
['146, albatross', '2023-09-12T22:46:38.624964', 0.003185272216796875, 0.03952383995056152, 0.0427091121673584]
['653, milk_can', '2023-09-12T22:46:40.589435', 0.003353595733642578, 0.032074689865112305, 0.03542828559875488]
['323, monarch', '2023-09-12T22:46:42.589812', 0.0016603469848632812, 0.03878331184387207, 0.04044365882873535]
['146, albatross', '2023-09-12T22:46:44.595876', 0.0022335052490234375, 0.034424543380737305, 0.03665804862976074]
['146, albatross', '2023-09-12T22:46:46.578441', 0.002210378646850586, 0.039586782455444336, 0.04179716110229492]
['976, promontory', '2023-09-12T22:46:48.612621', 0.001743316650390625, 0.03257417678833008, 0.0343174934387207]
['940, spaghetti_squash', '2023-09-12T22:46:50.686948', 0.0017781257629394531, 0.035774946212768555, 0.03755307197570801]
['323, monarch', '2023-09-12T22:46:52.609965', 0.0036797523498535156, 0.03205156326293945, 0.03573131561279297]
['323, monarch', '2023-09-12T22:46:54.640992', 0.0035698413848876953, 0.032494306564331055, 0.03606414794921875]
['323, monarch', '2023-09-12T22:46:56.639837', 0.0017137527465820312, 0.042764902114868164, 0.044478654861450195]
['653, milk_can', '2023-09-12T22:46:58.635955', 0.001847982406616211, 0.03123188018798828, 0.03307986259460449]
['976, promontory', '2023-09-12T22:47:00.593320', 0.003647327423095703, 0.03355693817138672, 0.03720426559448242]
['940, spaghetti_squash', '2023-09-12T22:47:02.634949', 0.0021936893463134766, 0.033843040466308594, 0.03603672981262207]
['976, promontory', '2023-09-12T22:47:04.736207', 0.0019538402557373047, 0.03833961486816406, 0.04029345512390137]
['940, spaghetti_squash', '2023-09-12T22:47:06.771679', 0.0018694400787353516, 0.04118657112121582, 0.04305601119995117]
['940, spaghetti_squash', '2023-09-12T22:47:08.841829', 0.0018274784088134766, 0.04348611831665039, 0.04531359672546387]
['323, monarch', '2023-09-12T22:47:10.856384', 0.0025517940521240234, 0.04317736625671387, 0.04572916030883789]
['323, monarch', '2023-09-12T22:47:12.920689', 0.004356861114501953, 0.03499317169189453, 0.039350032806396484]
['323, monarch', '2023-09-12T22:47:14.869633', 0.0016431808471679688, 0.03776073455810547, 0.03940391540527344]
['976, promontory', '2023-09-12T22:47:16.846202', 0.0023534297943115234, 0.05121302604675293, 0.05356645584106445]
['323, monarch', '2023-09-12T22:47:18.869595', 0.0031020641326904297, 0.037479400634765625, 0.040581464767456055]
['323, monarch', '2023-09-12T22:47:20.855537', 0.0015840530395507812, 0.03260040283203125, 0.03418445587158203]
